ShortMA,LongMA,BuyThresh,SellThresh,StopLoss,TakeProfit,ROI,Risk,WinRate,Strength,RawFitness,Density,SPEA2Fitness
23,30,8.13993,9.98548,10,6.94037,34.4082,-15.4604,83.3333,25,0,0.5,0.5
22,30,9.74981,9.99959,10,5.66641,43.1734,-9.27448,83.3333,30,0,0.5,0.5
23,30,8.14432,9.98358,10,6.95901,23.5896,-55.4756,83.3333,17,0,0.5,0.5
23,30,6.68132,9.97406,9.98173,3.50512,111.81,-2.3083,83.3333,49,0,0.5,0.5
22,30,7.87833,9.99033,9.9722,5.71265,104.035,-2.67168,83.3333,48,0,0.5,0.5
29,38,5.19963,9.90645,4.90209,1.43362,228.237,-0.597523,81.4646,63,0,0.5,0.5
22,30,8.19661,9.98519,10,5.68678,86.8924,-3.2454,83.3333,52,0,0.5,0.5
22,30,8.1566,9.98372,9.99956,6.90919,76.5641,-3.65332,83.3333,52,0,0.5,0.5
21,30,9.68171,9.99973,10,5.64974,79.855,-3.44694,83.3333,52,0,0.5,0.5
29,39,5.41115,9.93687,9.64479,2.4554,333.319,-0.496049,81.8252,62,0,0.496035,0.496035
23,30,7.57923,10,10,5.56785,47.3242,-7.08668,83.3333,31,0,0.5,0.5
29,39,5.41214,9.90308,9.64822,1.21331,331.428,-0.443029,83.1289,57,0,0.497177,0.497177
29,39,5.40377,9.89349,9.66896,0.521175,234.098,-0.382318,84.2378,47,0,0.498409,0.498409
29,39,5.40384,9.89577,9.67152,0.544785,227.147,-0.386634,83.9208,46,0,0.498409,0.498409
23,30,7.65944,9.93634,9.15555,6.55319,36.7425,-11.0288,83.3333,27,0,0.5,0.5
29,39,5.4074,9.34214,8.59864,3.00641,333.294,-0.519472,79.941,60,0,0.496015,0.496015
23,30,7.65378,9.93683,9.15931,6.05804,44.7413,-7.25928,83.3333,29,0,0.5,0.5
23,30,6.72166,8.77512,4.49166,3.21394,77.736,-1.39995,91.6084,53,0,0.5,0.5
29,39,5.4074,9.36308,8.5986,2.44742,317.368,-0.496342,80.4401,59,0,0.496035,0.496035
29,36,2.52229,9.99776,6.49422,0.840389,1213.11,-0.357373,76.8027,58,0,0.5,0.5
29,36,2.52356,9.68023,6.78018,0.811439,1164.91,-0.354956,76.9169,56,0,0.494011,0.494011
29,39,5.41298,9.94036,9.63293,3.74964,301.16,-0.51957,79.9248,58,0,0.5,0.5
28,61,7.79844,6.09291,7.52428,6.30442,1032.36,-0.368641,68.357,30,0,0.497352,0.497352
29,39,5.41133,9.89301,9.63973,1.61773,327.608,-0.453774,82.815,58,0,0.497177,0.497177
23,30,6.61397,8.76115,4.21538,3.21544,106.066,-1.35126,91.8831,63,0,0.49753,0.49753
23,30,6.61382,8.86355,4.04679,3.81662,93.8068,-1.39657,91.2879,59,0,0.497688,0.497688
29,38,5.10167,9.89153,6.23531,1.41717,214.731,-0.543609,82.6041,58,0,0.497677,0.497677
23,30,6.6627,8.90194,4.37654,4.092,74.05,-1.45718,91.2879,51,0,0.5,0.5
29,36,3.38387,9.22917,6.71014,1.74452,443.322,-0.393828,75.8366,49,0,0.491623,0.491623
23,30,6.65769,8.94665,4.3137,1.02387,115.435,-1.08609,92.6768,59,0,0.5,0.5
23,30,6.66394,8.90432,4.36864,0.975177,114.232,-1.03116,92.823,59,0,0.5,0.5
23,30,6.63648,8.90786,4.45731,0.975282,117.683,-1.06439,92.6768,60,0,0.5,0.5
23,30,6.70286,10,5.25242,6.86451,127.979,-1.57654,89.899,61,0,0.5,0.5
29,36,4.71395,9.8,8.07233,1.74141,138.989,-0.549496,81.485,48,0,0.49426,0.49426
23,30,6.69522,9.99968,4.81698,2.1869,113.343,-1.22669,92.3295,63,0,0.49689,0.49689
23,30,6.67661,9.99989,5.17942,6.09496,122.719,-1.44782,90.4545,67,0,0.5,0.5
23,30,6.61409,9.9145,4.8159,1.13943,118.905,-1.12842,92.5134,60,0,0.5,0.5
23,30,6.66001,9.87862,4.82874,1.73388,112.297,-1.15865,92.5134,58,0,0.5,0.5
23,30,6.64179,9.9973,4.78642,2.21235,115.717,-1.2099,92.3295,63,0,0.5,0.5
23,30,6.69647,9.99684,4.97463,2.54824,102.596,-1.23781,92.1212,59,0,0.49689,0.49689
23,30,6.69093,9.9986,5.14557,5.84218,121.224,-1.46865,90.4545,67,0,0.5,0.5
29,38,5.23004,9.98946,8.45155,1.70997,219.332,-0.542613,81.7047,59,0,0.497981,0.497981
29,45,6.17306,9.94103,9.95375,0.475583,379.934,-0.278822,78.3634,43,0,0.498668,0.498668
29,45,6.1753,9.98639,9.95315,0.550679,369.018,-0.280626,78.0549,41,0,0.5,0.5
29,38,5.20986,9.99079,8.45107,1.43458,219.933,-0.534775,81.9109,60,0,0.497981,0.497981
29,36,3.46549,9.99601,6.5799,0.827337,404.346,-0.360064,77.0716,48,0,0.5,0.5
28,61,7.78892,5.29403,7.03846,6.59962,1021.82,-0.370898,67.4598,27,0,0.5,0.5
29,45,6.18026,9.98666,9.88025,0.851466,547.649,-0.328045,77.766,51,0,0.5,0.5
29,36,4.67135,10,7.21345,0.947837,137.656,-0.492698,82.8624,47,0,0.5,0.5
29,36,4.671,9.82671,7.18467,1.00369,139.264,-0.50497,82.7204,48,0,0.5,0.5
